ID,Gender,Experience (Years),Position,Salary
384,F,14,Network Administrator,121650
320,F,10,IT Manager,193399
244,M,3,Systems Administrator,108998
55,F,12,IT Manager,143412
51,F,13,Network Administrator,115201
175,F,5,Cloud Solutions Architect,145253
190,M,11,Web Developer,116363
398,F,9,Network Administrator,85550
188,F,1,Systems Analyst,86818
170,F,11,Cloud Solutions Architect,134208
59,M,0,IT Manager,111250
49,M,15,IT Support Specialist,130119
345,F,17,Systems Administrator,127533
236,M,0,IT Support Specialist,70195
253,M,16,Software Engineer,174612
22,F,19,IT Security Analyst,232972
314,F,1,Software Engineer,97706
161,F,8,Software Engineer,159549
277,M,10,Database Administrator (DBA),166104
192,M,7,Database Administrator (DBA),132171
294,M,13,Database Administrator (DBA),108040
344,F,6,Software Engineer,114791
258,F,17,Software Engineer,175368
309,F,7,Database Administrator (DBA),125514
150,M,7,Software Engineer,128503
131,M,16,Systems Analyst,155017
152,M,19,DevOps Engineer,181201
360,M,4,Network Administrator,94624
100,M,4,Cloud Solutions Architect,131176
373,F,13,Systems Analyst,162457
88,F,1,IT Security Analyst,70941
331,M,19,Network Administrator,111362
215,M,9,Network Administrator,85199
122,M,13,Network Administrator,145856
400,F,11,IT Security Analyst,169058
21,F,20,Network Administrator,139766
189,M,11,IT Manager,153634
72,F,5,Cloud Solutions Architect,110321
107,M,6,IT Security Analyst,135066
271,F,7,IT Manager,115263
349,M,9,Systems Administrator,115769
103,F,3,IT Support Specialist,90049
