ID,Gender,Experience (Years),Position,Salary,Month
121,F,18,IT Manager,268774,Feb
122,M,13,Network Administrator,145856,Feb
123,F,12,Systems Analyst,100616,Feb
124,M,18,Software Engineer,215034,Feb
125,F,10,Software Engineer,99469,Feb
126,F,18,IT Support Specialist,114492,Feb
127,M,5,Systems Analyst,88697,Feb
128,M,10,IT Support Specialist,90393,Feb
129,F,11,Systems Analyst,120142,Feb
130,F,14,IT Support Specialist,95631,Feb
131,M,16,Systems Analyst,155017,Feb
132,M,6,IT Support Specialist,103201,Feb
133,M,3,Web Developer,57838,Feb
134,M,14,Web Developer,149569,Feb
135,F,1,Web Developer,59145,Feb
136,F,3,Database Administrator (DBA),109928,Feb
137,F,2,Systems Analyst,85246,Feb
138,M,15,IT Support Specialist,90576,Feb
139,F,3,Cloud Solutions Architect,127148,Feb
140,M,10,Database Administrator (DBA),135496,Feb
141,M,3,Systems Administrator,61236,Feb
142,M,5,IT Security Analyst,82987,Feb
143,M,0,Database Administrator (DBA),67396,Feb
144,F,9,Network Administrator,113345,Feb
145,M,12,Cloud Solutions Architect,217422,Feb
146,F,1,IT Manager,133155,Feb
147,M,19,Software Engineer,180669,Feb
148,F,1,IT Support Specialist,49817,Feb
149,M,19,Systems Analyst,179006,Feb
150,M,7,Software Engineer,128503,Feb
151,M,16,IT Security Analyst,207529,Feb
152,M,19,DevOps Engineer,181201,Feb
153,M,13,Database Administrator (DBA),192883,Feb
154,M,8,Software Engineer,145530,Feb
155,M,8,Software Engineer,149360,Feb
156,M,8,Systems Analyst,141631,Feb
157,M,0,IT Security Analyst,108050,Feb
158,M,8,IT Support Specialist,69668,Feb
159,F,15,DevOps Engineer,135999,Feb
160,F,2,Systems Analyst,89662,Feb
161,F,8,Software Engineer,159549,Feb
162,M,17,IT Manager,244446,Feb
163,M,5,Network Administrator,67910,Feb
164,M,13,Database Administrator (DBA),134293,Feb
165,M,14,Network Administrator,140241,Feb
166,F,7,IT Manager,120172,Feb
167,F,13,Systems Analyst,126492,Feb
168,M,3,Cloud Solutions Architect,109601,Feb
169,F,17,IT Security Analyst,175191,Feb
170,F,11,Cloud Solutions Architect,134208,Feb
171,M,20,Network Administrator,181654,Feb
172,F,11,Web Developer,150102,Feb
173,F,9,Systems Administrator,133765,Feb
174,F,14,IT Support Specialist,82546,Feb
175,F,5,Cloud Solutions Architect,145253,Feb
176,F,6,Cloud Solutions Architect,107263,Feb
177,M,5,IT Security Analyst,77683,Feb
178,M,16,Web Developer,117435,Feb
179,M,20,IT Security Analyst,120104,Feb
180,M,13,Systems Administrator,108545,Feb
181,F,17,Software Engineer,131849,Feb
182,M,12,IT Support Specialist,122736,Feb
183,F,12,Cloud Solutions Architect,153318,Feb
184,F,4,Database Administrator (DBA),108860,Feb
185,F,14,Systems Administrator,95988,Feb
186,F,12,Systems Analyst,174272,Feb
187,M,2,IT Security Analyst,114996,Feb
188,F,1,Systems Analyst,86818,Feb
189,M,11,IT Manager,153634,Feb
190,M,11,Web Developer,116363,Feb
191,F,18,DevOps Engineer,154557,Feb
192,M,7,Database Administrator (DBA),132171,Feb
193,F,15,IT Security Analyst,116529,Feb
194,M,7,Web Developer,90340,Feb
195,F,19,Systems Analyst,134871,Feb
196,F,12,Software Engineer,178801,Feb
197,F,18,IT Security Analyst,224671,Feb
198,F,16,Systems Administrator,106131,Feb
199,F,2,Cloud Solutions Architect,136537,Feb
200,M,8,DevOps Engineer,128641,Feb
